squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,type_numeric,condition_numeric,city_numeric,floor_ratio,price_per_sqm,is_high_floor,log_price,comfort_score,uuid,split
0.056666666666666664,0.2,0.05,0.06896551724137931,53.447378,14.565296,0.134,0.12,False,False,False,False,True,389000,0.0,0.5,1.0,0.3333333333333333,1.0,0,12.871337193291367,0.2,2177aa241bfc0aa265a36bae54875674,train
0.5694444444444444,0.8,0.2,0.10344827586206896,53.437221,14.566691,0.079,0.34,True,True,False,False,False,940000,0.0,0.5,1.0,1.0,1.0,1,13.753636218075409,0.4,accf214c55203ca15462227c6f1e3163,train
0.2611111111111111,0.4,0.4,0.3103448275862069,53.455554,14.561176,0.179,0.3,False,True,True,False,False,619000,0.0,0.5,1.0,0.8,1.0,1,13.335862167174314,0.4,5aafbeb3f2eecf91b49b578d9636cba9,train
0.14833333333333334,0.2,0.4,0.3103448275862069,53.43087678,14.55465317,0.0465,1.0,False,True,True,False,True,429000,0.0,0.5,1.0,0.8,1.0,1,12.969214528909768,0.6,60b9c3ebbfc72ce60a3308d9b714b7c9,test
0.23444444444444446,0.4,0.5,0.3448275862068966,53.432131,14.50304,0.198,0.14,True,True,True,False,True,599000,0.0,0.5,1.0,0.9090909090909091,1.0,1,13.303018546545275,0.8,51154b0aae3325ad93f0403e011c280f,train
0.12816666666666668,0.2,0.05,0.06896551724137931,53.4250411,14.5515636,0.0325,1.0,False,False,False,False,True,469000,0.0,0.5,1.0,0.3333333333333333,1.0,0,13.058360179622305,0.2,accf01b37fbbaa34f162548ee79ecb87,train
0.2388888888888889,0.4,0.15,0.13793103448275862,53.4196764,14.5600333,0.020999999999999998,0.42,True,True,True,False,True,890000,0.6666666666666666,0.5,1.0,0.6,1.0,0,13.698977865303197,0.8,67df6bd567454da2845107f88b587d2e,test
0.30477777777777776,0.6,0.15,0.10344827586206896,53.4348359,14.5488644,0.075,1.0,False,False,False,False,True,549000,0.3333333333333333,0.5,1.0,0.75,1.0,1,13.215855541983634,0.2,92b153c3ad19e3de57e57413530d66e1,train
0.32555555555555554,0.4,0.1,0.10344827586206896,53.4198383,14.5504582,0.04,0.32,False,False,False,False,True,475000,0.3333333333333333,0.5,1.0,0.5,1.0,0,13.07107218827772,0.2,c5e1b9178a343181d8c4ccf1f15e2e34,train
0.29133333333333333,0.4,0.15,0.10344827586206896,53.4308373,14.5419351,0.0755,1.0,False,False,False,False,True,690000,0.3333333333333333,0.5,1.0,0.75,1.0,1,13.444448325847754,0.2,5fbd61e54277b240d050e21c83704cf1,train
0.13155555555555556,0.2,0.1,0.06896551724137931,53.4438433,14.5055732,0.21600000000000003,0.18,True,False,False,False,True,365000,0.3333333333333333,0.5,1.0,0.6666666666666666,1.0,0,12.807655372286902,0.4,51577bf20c26037d61b16a052fe1af5d,val
0.03333333333333333,0.2,0.15,0.10344827586206896,53.4223727,14.5195649,0.1375,0.1,False,False,False,False,True,349000,0.0,0.5,1.0,0.75,1.0,1,12.762830066509972,0.2,46c134e3f8f4059e1bc94d58f436fae6,train
0.06111111111111111,0.2,0.15,0.10344827586206896,53.3932827,14.4832796,0.307,0.0,False,True,True,False,False,439000,0.6666666666666666,0.5,1.0,0.75,1.0,1,12.992256969959042,0.4,08a6abbfd14193d241374b30f7120f22,train
0.2846666666666666,0.4,0.2,0.13793103448275862,53.45152145,14.53832738,0.17350000000000002,0.18,False,True,False,False,True,619000,0.0,0.5,1.0,0.8,1.0,1,13.335862167174314,0.4,e2c2f96f8601835989d1e31b282f2d70,train
0.2987222222222222,0.6,0.15,0.10344827586206896,53.4545327,14.5426496,0.1835,0.18,False,True,False,False,True,599000,0.0,0.5,1.0,0.75,1.0,1,13.303018546545275,0.4,de3efd0ec562d2effe52fc2d774d7ed7,train
0.15638888888888888,0.4,0.15,0.10344827586206896,53.4246294,14.4876311,0.24300000000000002,0.2,True,True,True,False,True,637000,0.6666666666666666,0.5,1.0,0.75,1.0,1,13.364526504411781,0.8,647ea59a6d0f7e4be816813d47e72bec,train
0.12222222222222222,0.2,0.4,0.3103448275862069,53.4546599,14.486451,0.302,0.2,True,True,True,False,True,449000,0.0,0.5,1.0,0.8,1.0,1,13.014780393893403,0.8,2d28ca8e5c85ee26d91908952394f8fe,train
0.1828888888888889,0.2,0.2,0.10344827586206896,53.4240801,14.48198032,0.2615,0.06,False,True,False,False,True,449000,0.0,0.5,1.0,1.0,1.0,1,13.014780393893403,0.4,b19fded5d17c8c67a46a7a4decb5779d,train
0.1548888888888889,0.2,0.1,0.10344827586206896,53.4041118,14.5235129,0.16399999999999998,0.2,False,False,False,False,True,399000,0.0,0.5,1.0,0.5,1.0,0,12.896719202134523,0.2,fe179fab37daae57c4cd9900d1f92e29,train
0.18638888888888888,0.2,0.05,0.06896551724137931,53.425594,14.540169,0.06999999999999999,0.74,False,False,False,False,True,437000,0.3333333333333333,0.5,1.0,0.3333333333333333,1.0,0,12.987690762404629,0.2,6bc6c1000aed0474cc4b3a1601038bf0,val
0.1207222222222222,0.2,0.2,0.10344827586206896,53.404167,14.503333,0.219,0.1,True,True,True,False,False,579000,0.0,0.5,1.0,1.0,1.0,1,13.269059483669357,0.6,c6c4817c51b85eb29bdbeede7f0a6515,train
0.09283333333333334,0.2,0.3,0.3103448275862069,53.4281122,14.5531989,0.0365,1.0,True,True,True,False,True,459000,0.0,0.5,1.0,0.6,1.0,0,13.036807667689546,0.8,e232e75572964906ba4e229d338c6b84,train
0.4473333333333333,0.4,0.15,0.06896551724137931,53.4295256,14.5531763,0.042499999999999996,1.0,False,True,False,False,True,699000,0.3333333333333333,0.5,1.0,1.0,1.0,1,13.457407451830088,0.4,3caec5fc6c0ee2406ecb1e7539e3d521,train
0.20594444444444446,0.4,0.45,0.5862068965517241,53.4551,14.5616,0.1765,0.32,False,True,True,True,False,650000,0.6666666666666666,0.5,1.0,0.5,1.0,0,13.384729180332174,0.6,782aeb586d347716121e4a99c8f03b02,train
