id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
73f4fa3d9c31ed6f596788b24cdee131,gdansk,tenement,129.0,4.0,2.0,3.0,1930.0,54.34987,18.63984,0.95,24.0,0.464,0.158,0.257,0.643,0.234,0.886,0.22,condominium,no,no,no,no,yes,1490000
d09e040395ffafa5fe6ba8d8ebcd135d,warszawa,tenement,50.79,3.0,3.0,5.0,1932.0,52.2704722,20.97763071,4.66,39.0,0.427,0.188,0.386,0.064,0.156,0.888,0.115,condominium,no,no,yes,no,yes,1500000
e8269409804da81c75aaa42a715fe8c0,warszawa,blockOfFlats,37.5,2.0,6.0,10.0,1975.0,52.18972,20.99083,4.75,21.0,0.397,0.526,0.128,0.167,0.148,0.897,0.136,condominium,no,yes,yes,no,yes,699000
f46cbedb92fd034e0a084122df92badb,szczecin,tenement,107.0,4.0,3.0,3.0,1935.0,53.4290868,14.5409901,1.47,62.0,0.081,0.545,0.158,0.159,0.103,0.169,0.122,condominium,no,yes,no,no,no,765000
982880ec1360600a644a030f0cd03a09,wroclaw,apartmentBuilding,50.0,2.0,3.0,4.0,2014.0,51.0797669,17.063254,4.16,4.0,0.969,2.425,0.17,0.174,0.845,1.582,0.095,condominium,yes,yes,yes,no,no,770000
43a5cf1e2a191bc5130290b354bbabb6,wroclaw,blockOfFlats,62.0,5.0,3.0,10.0,1970.0,51.1017148,17.0246988,1.06,46.0,0.1,0.474,0.239,0.188,0.063,0.117,0.311,cooperative,no,no,yes,no,yes,789000
8f6fbb3fa80dd654c53f6218d280e155,wroclaw,blockOfFlats,48.0,2.0,3.0,3.0,1992.0,51.163434,17.1277618,9.01,9.0,0.271,1.356,0.298,0.216,0.141,2.009,0.325,condominium,no,yes,no,no,yes,549000
a166934dcf7bba5c345c484f694ed07a,wroclaw,apartmentBuilding,39.0,2.0,6.0,6.0,2022.0,51.0816,17.0378,3.28,9.0,0.423,0.886,0.231,0.336,0.244,1.095,0.242,condominium,no,yes,yes,no,no,550000
c1f2742aee80ce88bef0bfcfe116f55f,warszawa,blockOfFlats,38.19,2.0,1.0,10.0,1975.0,52.29736,20.94128,8.44,6.0,0.211,0.531,0.135,0.235,0.184,1.213,0.704,condominium,no,yes,yes,no,yes,649000
2fcd02e0f194b8aff70fe945b0017ba7,lublin,blockOfFlats,54.0,2.0,4.0,4.0,1989.0,51.26135052,22.60072277,2.75,2.0,0.863,2.464,0.895,0.323,1.106,1.6,0.382,condominium,no,yes,no,no,yes,459000
b57b39ca843976b35b19496330c33e72,katowice,blockOfFlats,38.2,2.0,2.0,18.0,1976.0,50.2768298,18.9763153,3.64,18.0,0.226,1.121,0.391,0.138,0.318,1.434,0.091,condominium,yes,yes,yes,no,no,389000
6f581dd3f3de32afab8bfbbf13035315,szczecin,blockOfFlats,47.55,2.0,10.0,11.0,1980.0,53.434856,14.555415,1.33,36.0,0.203,0.039,0.278,0.115,0.053,0.739,0.093,condominium,no,no,yes,no,yes,424000
f3b235664c70f9996b568bdd863cf6ae,gdansk,blockOfFlats,43.69,3.0,4.0,4.0,2021.0,54.35893,18.65059,1.09,27.0,0.117,0.131,0.49,0.101,0.24,0.286,0.2,condominium,no,no,yes,yes,no,1065900
49703b2889a404b87d692f5ec2405921,warszawa,blockOfFlats,43.5,2.0,5.0,15.0,1978.0,52.27677,20.92464,7.35,14.0,0.429,0.862,0.189,0.245,0.191,1.015,0.139,condominium,yes,yes,no,no,no,675000
59dc400f8101e16ca5a61e251f5556b4,warszawa,apartmentBuilding,57.22,2.0,2.0,8.0,2006.0,52.1424965,21.03647361,10.17,14.0,0.309,0.43,0.161,0.22,0.16,0.42,0.19,condominium,yes,no,yes,no,no,1139000
2c994277211a624270d703d8ccea0ca6,warszawa,blockOfFlats,25.0,1.0,5.0,10.0,1967.0,52.22682,21.04296,2.74,11.0,0.452,1.258,0.739,0.152,0.094,0.677,0.237,condominium,no,yes,yes,yes,no,560000
580a89e53b98911fbac2efe585d1170f,lodz,blockOfFlats,57.0,3.0,3.0,4.0,1980.0,51.7373,19.48858,5.44,18.0,0.212,1.102,0.109,0.294,0.057,1.623,0.019,condominium,no,yes,no,no,no,389000
de530bb78ed586fd2ddcee838c6dc25e,krakow,blockOfFlats,49.0,3.0,3.0,3.0,2018.0,49.9885697,19.904513,7.81,0.0,0.692,1.014,1.303,0.798,1.308,4.308,1.361,condominium,no,yes,no,no,no,660000
1eb7c72b6fe2458c3d23a89bd2631e54,krakow,blockOfFlats,52.0,3.0,3.0,4.0,1981.0,50.0144,19.9561,4.72,13.0,0.287,0.695,0.269,0.415,0.412,0.905,0.254,condominium,yes,yes,no,no,yes,699000
